"01CCOC_INST","05/08/2014","19/08/2014","aio08","mig05"
"47BIBSYS_NETWORK","01/11/2015","31/12/2015","aio06EU",""
"47BIBSYS_NB","02/11/2015","30/11/2015","aio06EU",""
"47BIBSYS_NTNU_UB","08/11/2015","20/11/2015","aio02EU",""
"47BIBSYS_UBO","04/11/2015","19/11/2015","aio04EU",""
"47BIBSYS_UBTO","10/11/2015","24/11/2015","aio03EU",""
"47BIBSYS_NOBEL","17/11/2015","01/12/2015","aio04EU",""
"47BIBSYS_UBB","08/11/2015","23/11/2015","aio05EU",""
"47BIBSYS_UBIS","11/11/2015","25/11/2015","aio10EU",""
"47BIBSYS_UBA","11/11/2015","25/11/2015","aio09EU",""
"47BIBSYS_HIT","11/11/2015","25/11/2015","aio11EU",""
"47BIBSYS_UBIN","15/11/2015","27/11/2015","aio12EU",""
"47BIBSYS_HIOA","15/11/2015","30/11/2015","aio05EU",""
"47BIBSYS_NMBU","17/11/2015","01/12/2015","aio05EU",""
"47BIBSYS_HH","12/11/2015","26/11/2015","aio13EU",""
"47BIBSYS_BI","15/11/2015","30/11/2015","aio13EU",""
"47BIBSYS_NHHB","17/11/2015","01/12/2015","aio03EU",""
"47BIBSYS_HBV","15/11/2015","27/11/2015","aio09EU",""
"47BIBSYS_HIO","12/11/2015","26/11/2015","aio04EU",""
"47BIBSYS_HINT","15/11/2015","27/11/2015","aio03EU",""
"47BIBSYS_HVO","12/11/2015","26/11/2015","aio05EU",""
"47BIBSYS_HIB","17/11/2015","01/12/2015","aio10EU",""
"47BIBSYS_HIST","08/11/2015","20/11/2015","aio08EU",""
"47BIBSYS_HIM","17/11/2015","01/12/2015","aio08EU",""
"47BIBSYS_HSF","17/11/2015","01/12/2015","aio09EU",""
"47BIBSYS_HIL","15/11/2015","27/11/2015","aio11EU",""
"47BIBSYS_SSB","15/11/2015","27/11/2015","aio01EU",""
"61SLQ_INST","03/11/2014","28/11/2014","aio03AP","N/A"
"01TRAILS_NETWORK","27/11/2016","16/12/2016","","N/A"
"01TRAILS_UM_WES","27/11/2016","16/12/2016","","N/A"
"01TRAILS_MSU","27/11/2016","16/12/2016","",""
"01TRAILS_UM_WESTERN","27/11/2016","16/12/2016","",""
"01TRAILS_UM_MTECH","27/11/2016","16/12/2016","",""
"01TRAILS_AFFILIATES","27/11/2016","16/12/2016","",""
"01ALLIANCE_OSU","17/11/2014","04/12/2014","aio11NA",""
"01ALLIANCE_CWU","03/12/2014","18/12/2014","aio01NA",""
"01ALLIANCE_WHITC","22/12/2014","08/01/2015","aio12NA","mig04"
"01ALLIANCE_SEAU","02/12/2014","15/12/2014","aio07NA",""
"01ALLIANCE_GFOX","03/12/2014","18/12/2014","aio04NA",""
"01ALLIANCE_WALLA","29/10/2014","17/11/2014","aio02NA",""
"01ALLIANCE_CHEMEK","30/11/2014","12/12/2014","aio03NA",""
"01ALLIANCE_LANECC","03/12/2014","17/12/2014","aio12NA",""
"01ALLIANCE_COCC","17/11/2014","01/12/2014","aio04NA",""
"01ALLIANCE_EOU","30/11/2014","15/12/2014","aio11NA",""
"39RM_2DUE","02/11/2015","13/11/2015","aio07EU","N/A"
"39RM_2DUE","22/02/2016","07/03/2016","aio07EU","N/A"
"44KU_INST","21/05/2014","02/06/2014","Impl1EU","N/A"
"01GALI_EMORY","01/08/2015","17/08/2015","aio06NA","N/A"
"82SNU_INST","15/03/2015","15/04/2015","aio01AP","mig02AP"
"49MAN_INST","01/09/2015","10/09/2015","aio03EU","N/A"
"49KOBV_HUB","01/03/2016","21/03/2016","aio01EU","N/A"
"49KOBV_FUB","01/03/2016","21/03/2016","aio02EU","N/A"
"49KOBV_TUBUDK","01/03/2016","21/03/2016","aio04EU","N/A"
"49HTW_INST","01/03/2015","25/03/2015","aio03EU","mig03EU"
"65SIM_INST","10/05/2014","31/05/2014","aio01AP","mig01AP"
"82SNU_INST","27/05/2015","19/06/2015","aio01AP","mig01AP"
"01UWI_NETWORK","27/09/2014","24/10/2014","","N/A"
"61UNI_NETWORK","27/05/2015","22/06/2015","","N/A"
"61UNI_ACU","27/05/2015","22/06/2015","aio05AP","N/A"
"61UNI_CPE","27/05/2015","22/06/2015","aio02AP","N/A"
"61UNI_AVN","27/05/2015","22/06/2015","aio05AP","N/A"
"61UNI_CAM","27/05/2015","22/06/2015","aio04AP","N/A"
"61UNI_CIS","27/05/2015","22/06/2015","aio02AP","N/A"
"61UNI_CSU","27/05/2015","22/06/2015","aio06AP","N/A"
"61UNI_CHC","27/05/2015","22/06/2015","aio05AP","N/A"
"61UNI_JMC","27/05/2015","22/06/2015","aio02AP","N/A"
